name,address,city,state,zip,country,latitude,longitude,phone,website,image_url,flavors,description
Glacier Scoop Toronto,135 Yonge St,Toronto,ON,M5C 1W7,CA,43.6519,-79.3776,+1 416-555-0901,https://example.com/yonge,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,pistachio,salted-caramel",Downtown shop with all-day scoops and seasonal sundaes.
Glacier Scoop Liberty Village,77 East Liberty St,Toronto,ON,M6K 3R2,CA,43.6391,-79.4178,+1 416-555-0902,https://example.com/liberty,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,mint-chip,cookies-cream",Neighborhood shop with a small patio and waffle cones.
Glacier Scoop Williamsburg,162 Bedford Ave,Brooklyn,NY,11211,US,40.7160,-73.9613,+1 718-555-0903,https://example.com/williamsburg,https://images.unsplash.com/photo-1488900128323-21503983a07e?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,pistachio,matcha,salted-caramel",Brooklyn flagship with a 12-flavor case and seasonal sorbets.
Glacier Scoop Soho,121 Spring St,New York,NY,10012,US,40.7244,-73.9990,+1 212-555-0904,https://example.com/soho,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,mint-chip,salted-caramel",Soho counter with a small but rotating list of seasonal flavors.
Glacier Scoop Silver Lake,3057 Sunset Blvd,Los Angeles,CA,90026,US,34.0917,-118.2780,+1 213-555-0905,https://example.com/silverlake,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,pistachio,matcha",Silver Lake corner shop with sidewalk seating and matcha soft serve.
Glacier Scoop Venice,1025 Abbot Kinney Blvd,Venice,CA,90291,US,33.9914,-118.4642,+1 310-555-0906,https://example.com/venice,https://images.unsplash.com/photo-1488900128323-21503983a07e?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,salted-caramel,cookies-cream",Abbot Kinney shop with seasonal flavors and waffle bowls.
Glacier Scoop Capitol Hill,1500 Pike Pl,Seattle,WA,98101,US,47.6097,-122.3422,+1 206-555-0907,https://example.com/seattle,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,mint-chip",Pike Place shop with all-day scoops and waffle cones.
Glacier Scoop Pearl,1015 NW Glisan St,Portland,OR,97209,US,45.5263,-122.6826,+1 503-555-0908,https://example.com/pearl,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,pistachio,matcha,salted-caramel,cookies-cream",Pearl District shop with a wide flavor case and seasonal sorbets.
Glacier Scoop Shoreditch,18 Curtain Rd,London,,EC2A 3AN,GB,51.5240,-0.0810,+44 20 7555 0909,https://example.com/shoreditch,https://images.unsplash.com/photo-1488900128323-21503983a07e?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,pistachio,salted-caramel",Shoreditch shop with seasonal flavors and a small espresso bar.
Glacier Scoop Berlin Mitte,Rosenthaler Str 50,Berlin,,10178,DE,52.5258,13.4019,+49 30 5550 0910,https://example.com/berlin,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,mint-chip,matcha",Mitte shop with seasonal flavors and a small patio.
Glacier Scoop Surry Hills,491 Crown St,Surry Hills,NSW,2010,AU,-33.8896,151.2126,+61 2 5550 0911,https://example.com/surryhills,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,strawberry,pistachio,salted-caramel,cookies-cream",Crown Street shop with rotating flavors and waffle cones.
Glacier Scoop Fitzroy,395 Brunswick St,Fitzroy,VIC,3065,AU,-37.7919,144.9784,+61 3 5550 0912,https://example.com/fitzroy,https://images.unsplash.com/photo-1488900128323-21503983a07e?auto=format&fit=crop&w=900&q=80,"vanilla,chocolate,mint-chip,matcha,cookies-cream",Fitzroy shop with seasonal flavors and a back patio.
