name,address,city,state,zip,country,latitude,longitude,phone,website,image_url,specialty,services,certifications,available_from,description
Apex Plumbing & Drain,210 Front St E,Toronto,ON,M5A 1E8,CA,43.6519,-79.3617,+1 416-555-1001,https://example.com/apex,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,plumbing,"drain-cleaning,leak-repair,water-heater,emergency",licensed-master-plumber,2026-05-21,Toronto plumbing service with same-day appointments and emergency calls.
Beacon Electric,55 King St W,Hamilton,ON,L8P 4S0,CA,43.2557,-79.8711,+1 905-555-1002,https://example.com/beacon,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,electrical,"panel-upgrade,ev-charger,lighting,wiring",master-electrician,2026-05-23,Hamilton electrical contractor specializing in EV charger installs and panel upgrades.
Northbridge HVAC,3300 Bloor St W,Etobicoke,ON,M8X 2X3,CA,43.6463,-79.5176,+1 416-555-1003,https://example.com/northbridge,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,hvac,"furnace,ac,heat-pump,maintenance",licensed-hvac,2026-05-22,Heating and cooling installs and seasonal maintenance across the GTA.
Pinecrest Plumbing,1855 Lawrence Ave W,North York,ON,M6L 1E1,CA,43.7022,-79.4814,+1 416-555-1004,https://example.com/pinecrest,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,plumbing,"leak-repair,water-heater,bathroom-remodel",licensed-master-plumber,2026-05-26,North York plumber with bathroom remodels and water heater installs.
Brightspark Electric,401 Granville St,Vancouver,BC,V6C 1T4,CA,49.2851,-123.1149,+1 604-555-1005,https://example.com/brightspark,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,electrical,"panel-upgrade,lighting,smoke-alarm,wiring",master-electrician,2026-05-20,Vancouver electrician with smoke alarm and lighting installs.
Crosstown Plumbing,2155 W 4th Ave,Vancouver,BC,V6K 1N6,CA,49.2682,-123.1592,+1 604-555-1006,https://example.com/crosstown,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,plumbing,"drain-cleaning,water-heater,emergency",licensed-master-plumber,2026-05-25,Vancouver plumber with emergency drain service.
Borough Heating & Air,512 W 26th St,New York,NY,10001,US,40.7479,-74.0009,+1 212-555-1007,https://example.com/borough,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,hvac,"ac,heat-pump,furnace,maintenance",licensed-hvac,2026-05-24,Manhattan HVAC contractor with rooftop AC installs.
Atlas Electric NYC,1245 Broadway,New York,NY,10001,US,40.7458,-73.9883,+1 212-555-1008,https://example.com/atlas,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,electrical,"panel-upgrade,lighting,ev-charger",master-electrician,2026-05-22,Manhattan electrician with EV charger and panel work.
Liberty Plumbing Brooklyn,328 Atlantic Ave,Brooklyn,NY,11217,US,40.6892,-73.9863,+1 718-555-1009,https://example.com/liberty,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,plumbing,"drain-cleaning,leak-repair,emergency",licensed-master-plumber,2026-05-21,Brooklyn plumber with same-day appointments.
Wattline Electric LA,720 W 7th St,Los Angeles,CA,90017,US,34.0497,-118.2557,+1 213-555-1010,https://example.com/wattline,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,electrical,"panel-upgrade,solar-tie-in,ev-charger",master-electrician,2026-05-27,LA electrician with solar tie-ins and EV charger installs.
Sunset Plumbing LA,3520 Sunset Blvd,Los Angeles,CA,90026,US,34.0911,-118.2738,+1 213-555-1011,https://example.com/sunset,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,plumbing,"drain-cleaning,water-heater,bathroom-remodel",licensed-master-plumber,2026-05-23,Silver Lake plumber with bathroom remodels and water heater work.
Cascade HVAC Seattle,2200 4th Ave,Seattle,WA,98121,US,47.6151,-122.3398,+1 206-555-1012,https://example.com/cascade,https://images.unsplash.com/photo-1581094288338-2314dddb7ece?auto=format&fit=crop&w=900&q=80,hvac,"heat-pump,maintenance,ac",licensed-hvac,2026-05-29,Seattle HVAC with heat pump installs and seasonal maintenance.
